dt,gender,age,chainname,number_visit
2015-07-04,female,25_34,Chick-fil-A,659
2015-07-04,female,25_34,Popeyes Louisiana Kitchen,214
2015-07-04,female,45_54,Popeyes Louisiana Kitchen,59
2015-07-04,male,45_54,Popeyes Louisiana Kitchen,111
2015-07-05,male,45_54,Chick-fil-A,117
2015-07-05,female,35_44,Popeyes Louisiana Kitchen,138
2015-07-05,male,65_plus,Chick-fil-A,15
2015-07-05,female,65_plus,Popeyes Louisiana Kitchen,10
2015-07-05,male,25_34,Popeyes Louisiana Kitchen,253
2015-07-05,female,65_plus,Chick-fil-A,12
2015-07-05,male,18_24,Chick-fil-A,32
2015-07-05,female,45_54,Chick-fil-A,69
2015-07-05,female,55_64,Chick-fil-A,51
2015-07-05,female,25_34,Popeyes Louisiana Kitchen,217
2015-07-05,male,25_34,Chick-fil-A,212
2015-07-05,male,35_44,Chick-fil-A,180
2015-07-05,male,45_54,Popeyes Louisiana Kitchen,106
2015-07-05,female,25_34,Chick-fil-A,160
2015-07-05,female,Under_18,Popeyes Louisiana Kitchen,2
2015-07-05,male,65_plus,Popeyes Louisiana Kitchen,7
2015-07-05,female,Under_18,Chick-fil-A,2
2015-07-05,male,55_64,Popeyes Louisiana Kitchen,34
2015-07-05,male,55_64,Chick-fil-A,43
2015-07-05,male,18_24,Popeyes Louisiana Kitchen,26
2015-07-05,female,18_24,Popeyes Louisiana Kitchen,19
2015-07-05,female,18_24,Chick-fil-A,30
2015-07-05,female,35_44,Chick-fil-A,131
2015-07-05,male,35_44,Popeyes Louisiana Kitchen,200
2015-07-05,female,55_64,Popeyes Louisiana Kitchen,36
2015-07-05,female,45_54,Popeyes Louisiana Kitchen,69
2015-07-06,female,25_34,Popeyes Louisiana Kitchen,194
2015-07-06,female,45_54,Chick-fil-A,327
2015-07-06,male,55_64,Popeyes Louisiana Kitchen,43
2015-07-06,male,65_plus,Popeyes Louisiana Kitchen,15
2015-07-06,male,Under_18,Chick-fil-A,4
2015-07-06,male,35_44,Popeyes Louisiana Kitchen,241
2015-07-06,female,18_24,Popeyes Louisiana Kitchen,25
2015-07-06,male,25_34,Chick-fil-A,763
2015-07-06,male,65_plus,Chick-fil-A,79
2015-07-06,male,18_24,Popeyes Louisiana Kitchen,36
2015-07-06,female,25_34,Chick-fil-A,777
2015-07-06,male,45_54,Popeyes Louisiana Kitchen,125
2015-07-06,female,65_plus,Chick-fil-A,54
2015-07-06,female,65_plus,Popeyes Louisiana Kitchen,13
2015-07-06,male,35_44,Chick-fil-A,760
2015-07-06,male,55_64,Chick-fil-A,164
2015-07-06,female,55_64,Popeyes Louisiana Kitchen,27
2015-07-06,female,Under_18,Chick-fil-A,12
2015-07-06,male,45_54,Chick-fil-A,473
2015-07-06,female,18_24,Chick-fil-A,172
2015-07-06,female,Under_18,Popeyes Louisiana Kitchen,1
2015-07-06,male,18_24,Chick-fil-A,122
2015-07-06,male,25_34,Popeyes Louisiana Kitchen,273
2015-07-06,female,55_64,Chick-fil-A,129
2015-07-06,female,35_44,Popeyes Louisiana Kitchen,144
2015-07-06,female,45_54,Popeyes Louisiana Kitchen,67
2015-07-06,female,35_44,Chick-fil-A,603
2015-07-07,female,25_34,Popeyes Louisiana Kitchen,225
2015-07-07,female,45_54,Popeyes Louisiana Kitchen,83
2015-07-07,female,25_34,Chick-fil-A,773
2015-07-07,female,65_plus,Chick-fil-A,54
2015-07-07,male,35_44,Popeyes Louisiana Kitchen,229
2015-07-07,female,55_64,Chick-fil-A,151
2015-07-07,male,Under_18,Chick-fil-A,3
2015-07-07,male,65_plus,Chick-fil-A,63
2015-07-07,male,25_34,Popeyes Louisiana Kitchen,257
2015-07-07,female,Under_18,Chick-fil-A,12
2015-07-07,female,18_24,Chick-fil-A,185
2015-07-07,male,65_plus,Popeyes Louisiana Kitchen,18
2015-07-07,female,65_plus,Popeyes Louisiana Kitchen,12
2015-07-07,female,18_24,Popeyes Louisiana Kitchen,35
2015-07-07,female,35_44,Popeyes Louisiana Kitchen,164
2015-07-07,female,45_54,Chick-fil-A,396
2015-07-07,male,55_64,Popeyes Louisiana Kitchen,50
2015-07-07,female,35_44,Chick-fil-A,613
2015-07-07,male,45_54,Popeyes Louisiana Kitchen,140
2015-07-07,male,55_64,Chick-fil-A,169
2015-07-07,female,55_64,Popeyes Louisiana Kitchen,24
2015-07-07,male,18_24,Chick-fil-A,140
2015-07-07,male,25_34,Chick-fil-A,773
2015-07-07,male,18_24,Popeyes Louisiana Kitchen,35
2015-07-07,male,35_44,Chick-fil-A,864
2015-07-07,male,45_54,Chick-fil-A,492
2015-07-07,female,Under_18,Popeyes Louisiana Kitchen,2
2015-07-08,male,35_44,Popeyes Louisiana Kitchen,244
2015-07-08,female,25_34,Popeyes Louisiana Kitchen,217
2015-07-08,male,65_plus,Popeyes Louisiana Kitchen,16
2015-07-08,female,35_44,Chick-fil-A,643
2015-07-08,male,45_54,Chick-fil-A,537
2015-07-08,male,25_34,Popeyes Louisiana Kitchen,280
2015-07-08,female,45_54,Chick-fil-A,371
2015-07-08,female,45_54,Popeyes Louisiana Kitchen,87
2015-07-08,male,18_24,Popeyes Louisiana Kitchen,33
2015-07-08,female,25_34,Chick-fil-A,779
2015-07-08,male,45_54,Popeyes Louisiana Kitchen,116
2015-07-08,male,18_24,Chick-fil-A,131
2015-07-08,male,Under_18,Chick-fil-A,2
2015-07-08,female,35_44,Popeyes Louisiana Kitchen,136
